epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.495,1.73183,1.92509,1.56135,0.38025,0.29569,0.25708,0.11995,1.76646,1.9454,1.69704,0.000662192,0.000662192,0.000662192
2,217.297,1.699,1.637,1.51084,0.40983,0.38017,0.31728,0.13662,1.77409,2.49774,1.55366,0.00128501,0.00128501,0.00128501
3,294.09,1.6878,1.59498,1.5065,0.47727,0.54431,0.46491,0.22116,1.73954,1.88218,1.52097,0.00186382,0.00186382,0.00186382
4,384.102,1.639,1.52037,1.47553,0.50838,0.44486,0.42053,0.19904,1.75689,1.6335,1.62774,0.001802,0.001802,0.001802
5,443.695,1.60567,1.46911,1.45749,0.57484,0.50429,0.50791,0.25582,1.66464,1.37156,1.44222,0.001736,0.001736,0.001736
6,505.532,1.55746,1.41433,1.43232,0.6233,0.59317,0.60857,0.31601,1.52021,1.24687,1.43072,0.00167,0.00167,0.00167
7,563.422,1.53374,1.41074,1.42342,0.64059,0.60605,0.62508,0.32334,1.52459,1.29503,1.41199,0.001604,0.001604,0.001604
8,622.666,1.52091,1.33638,1.40158,0.63093,0.61684,0.6243,0.32347,1.49536,1.21542,1.40201,0.001538,0.001538,0.001538
9,689.397,1.48825,1.30684,1.38348,0.63242,0.63242,0.64286,0.33778,1.47677,1.22452,1.40247,0.001472,0.001472,0.001472
10,745.659,1.48465,1.29505,1.37504,0.58063,0.53984,0.54402,0.28453,1.56312,1.24913,1.44892,0.001406,0.001406,0.001406
11,811.532,1.47221,1.2717,1.36901,0.66141,0.6408,0.66019,0.35286,1.46527,1.16115,1.37296,0.00134,0.00134,0.00134
12,864.792,1.45931,1.26031,1.37064,0.63221,0.6417,0.63343,0.33591,1.48881,1.15765,1.40964,0.001274,0.001274,0.001274
13,936.368,1.43812,1.23969,1.35645,0.66097,0.61204,0.65428,0.35193,1.48953,1.0912,1.38125,0.001208,0.001208,0.001208
14,1008.58,1.43132,1.22698,1.33916,0.66031,0.64679,0.67327,0.36923,1.42409,1.15409,1.34691,0.001142,0.001142,0.001142
15,1067.18,1.41899,1.19653,1.32272,0.65938,0.63841,0.67201,0.37069,1.46426,1.14412,1.37335,0.001076,0.001076,0.001076
16,1137.91,1.39747,1.18324,1.32722,0.66536,0.6402,0.66848,0.35927,1.47779,1.07861,1.37966,0.00101,0.00101,0.00101
17,1228.81,1.38941,1.15207,1.3047,0.67908,0.67514,0.70037,0.3855,1.43825,1.02923,1.35048,0.000944,0.000944,0.000944
18,1290.08,1.3793,1.14987,1.31251,0.64559,0.66849,0.68275,0.37587,1.42781,1.02921,1.34077,0.000878,0.000878,0.000878
19,1373.97,1.3556,1.12296,1.30067,0.67219,0.63703,0.67185,0.37239,1.42417,1.04981,1.34544,0.000812,0.000812,0.000812
20,1450.33,1.34443,1.1177,1.28925,0.67633,0.6408,0.68242,0.38376,1.40813,1.04613,1.33269,0.000746,0.000746,0.000746
21,1691.08,1.34264,1.09176,1.29675,0.67418,0.66237,0.69416,0.3849,1.42786,0.99482,1.33665,0.00068,0.00068,0.00068
22,1746.95,1.3262,1.07511,1.29252,0.66704,0.68178,0.70188,0.38876,1.40316,0.99855,1.32514,0.000614,0.000614,0.000614
23,1810.61,1.29331,1.04155,1.27555,0.69006,0.66207,0.6991,0.39487,1.40803,0.98818,1.33287,0.000548,0.000548,0.000548
24,1885.68,1.28862,1.02375,1.2657,0.70163,0.67137,0.70892,0.39675,1.4095,0.99017,1.32538,0.000482,0.000482,0.000482
25,1960.74,1.27687,1.00082,1.25539,0.68895,0.68244,0.70907,0.40018,1.40314,0.95876,1.3166,0.000416,0.000416,0.000416
26,2036.52,1.25058,0.98405,1.24764,0.68017,0.67855,0.70678,0.39923,1.40626,0.96249,1.32239,0.00035,0.00035,0.00035
27,2114.67,1.24934,0.97399,1.24394,0.68607,0.67959,0.71322,0.40348,1.3988,0.94509,1.32177,0.000284,0.000284,0.000284
28,2198.3,1.23508,0.94878,1.23101,0.69273,0.68095,0.71507,0.40482,1.39402,0.94254,1.31145,0.000218,0.000218,0.000218
29,2379.75,1.21891,0.93255,1.21839,0.69601,0.67221,0.71259,0.40443,1.39263,0.93719,1.31423,0.000152,0.000152,0.000152
30,2443.54,1.20751,0.91761,1.20949,0.70056,0.67705,0.71924,0.41081,1.38571,0.92905,1.30606,8.6e-05,8.6e-05,8.6e-05
